text,label
التطبيق مره حلو وسهل الاستخدام 👌,positive
الخدمة زفت والتوصيل تأخر اسبوع كامل,negative
استلمت الطلب اليوم وباجربه بعدين,neutral
الواجهة تجنن وكل شي واضح,positive
البرنامج يعلق كثير وهذا الشي يضايق,negative
السعر غالي مره مقارنة بالجودة,negative
ما شاء الله الخدمة سريعة والموظفين محترمين,positive
طلبت قبل ثلاث ايام ولسه ما وصل شي,negative
المنتج عادي ما فيه شي مميز ولا سيء,neutral
يجنن صراحه افضل تطبيق جربته 😍,positive
تجربة سيئة وما انصح فيها ابد,negative
وصلني الطلب بالوقت المحدد بالضبط,positive
حاولت اتواصل مع الدعم وما ردوا علي,negative
التحديث الجديد خرب التطبيق كله,negative
المطعم نظيف والاكل لذيذ ومره عجبني,positive
الاسعار معقولة بس الجودة متوسطة,neutral
خدمة العملاء كانت متعاونة وحلت مشكلتي بسرعة,positive
التوصيل بطيء والسواق ما يعرف الموقع,negative
بشوف العروض الاسبوع الجاي واقرر,neutral
صراحه فاجأني المنتج جودته ممتازة 👏,positive
المقاس جاني غلط والارجاع معقد,negative
التطبيق سهل بس يحتاج مميزات اكثر,neutral
اكل المطعم بارد وطعمه مو حلو,negative
افضل تجربة شراء اونلاين مرت علي,positive
المنتج وصل مكسور والتغليف كان سيء,negative
تعاملهم راقي ورجعوا لي المبلغ بدون تعقيد,positive
المقاس مضبوط والخامه ممتازه انصح فيه,positive
ما زال الطلب قيد المعالجه من ثلاث ايام,neutral
التطبيق يهنق كل ما افتح صفحة الدفع,negative
الشحن وصل قبل الموعد المتوقع بيومين,positive
الالوان بالواقع مختلفه تماما عن الصور,negative
جربت الخدمه الجديده اليوم اول مره,neutral
الدعم الفني رد علي خلال دقايق وحل المشكله,positive
الاشتراك الشهري ما يستاهل قيمته ابد,negative
الجهاز يسخن بسرعه ويفصل لحاله,negative
ابدعتوا بالتحديث الاخير الواجهه صارت اسرع,positive
استلمت رساله ان الطلب اتشحن من المستودع,neutral
الفاتوره فيها رسوم خفيه ما احد نبهنا عليها,negative
البطاريه تكفيني يومين كاملين شي خرافي,positive
ريحة العطر تثبت من الصبح لليل يجنن,positive
ما ادري اذا برجع اطلب منهم مره ثانيه,neutral
الموقع سهل والدفع تم بثواني تجربه سلسه,positive
طلبي الثاني وصل غلط زي اول مره بالضبط,negative
المتجر حول طلبي لشركة شحن ثانيه,neutral
الخامه رخيصه وتنسلخ من اول غسله,negative
خصومات الجمعه البيضاء عندهم حقيقيه مو وهميه,positive
وصلني ايميل تأكيد الحجز قبل شوي,neutral
حذفت التطبيق بعد ما خرب اعداداتي كلها,negative
هديتهم المجانيه مع الطلب لفته حلوه منهم,positive
السماعه صوتها نقي والعزل ممتاز,positive
ما وصلني كود التفعيل على الجوال,negative
بقارن بين عرضين قبل ما اقرر اشتري,neutral
تجاهلوا شكوتي بالكامل ولا احد تواصل معي,negative
المحفظه الجلديه شغل يدوي متقن تستاهل,positive
الاسترجاع عندهم معقد ويبغى له اسبوعين,negative
حدثت بياناتي بالحساب بدون اي مشاكل,neutral
الشاشه وضوحها عالي والالوان حيويه,positive
المقعد غير مريح ويتعب الظهر بعد ساعه,negative
باخذ رأي اهلي قبل اتمام الطلب,neutral
خدمة الغرف استجابت بسرعه وبكل احترافيه,positive
الشبكه عندهم فاشله والنت يقطع كل شوي,negative
باقة الانترنت الجديده سعرها حلو وسرعتها ثابته,positive
حولت من شريحه لشريحه ونفس الرقم,neutral
الفندق اطلاله خياليه والغرف واسعه ونظيفه,positive
حجزنا غرفه مطله ولقيناها على الموقف,negative
تسجيل الدخول بالفندق ياخذ وقته المعتاد,neutral
طيرانهم دايم متأخر وما يحترمون وقت الناس,negative
المضيفين قمه بالذوق والرحله كانت مريحه,positive
الرحله اقلعت بوقتها وهبطت بوقتها,neutral
تطبيق البنك سهّل علي كل التحويلات الله يعافيهم,positive
البنك جمد حسابي بدون سبب ولا اشعار,negative
راجعت الفرع وخذيت رقم وانتظرت دوري,neutral
النادي اجهزته جديده ومدربينهم اكفاء,positive
اشتركت سنه وندمان النادي زحمه على طول,negative
غيرت اشتراكي من فرع لفرع اقرب لبيتي,neutral
العياده مواعيدها دقيقه والدكتوره شاطره ومطمنه,positive
انتظرت ساعتين مع ان عندي موعد محجوز,negative
الممرضه اخذت العينه وقالوا النتيجه بكره,neutral
يا جماعه المسلسل ده هيموت من الضحك جامد اوي,positive
الفيلم ممل اوي ونمت في النص بجد فلوسي راحت,negative
الحلقه الجايه هتنزل الخميس على المنصه,neutral
الاكله دي طعمها تحفه يا ريت تجربوها,positive
المطعم ده غالي اوي ومفيش حاجه تستاهل,negative
هنعدي على المول الاول وبعدين السينما,neutral
هاد المحل كتير منيح والاسعار مناسبه والله,positive
الخدمه عندهم سيئه كتير وما حدا بيرد عليك,negative
رح اشوف العروض وبخبرك شو صار معي,neutral
السياره وفرت علي بنزين وما تعطلت ولا مره,positive
الوكاله ماطلتني شهرين بقطعة غيار بسيطه,negative
وديت السياره الصيانه الدوريه حقت العشرين الف,neutral
التكييف الجديد بارد وهادي وما يرفع الفاتوره,positive
ركبوا التكييف غلط وخرب الجبس حقنا,negative
الفني بيجي يعاين المكان قبل التركيب,neutral
المعلمه اسلوبها راقي وبنتي صارت تحب الماده,positive
المدرسه رفعت الرسوم ونزل مستوى التعليم,negative
الاجتماع مع امهات الفصل يوم الاثنين,neutral
منصة الدورات محتواها دسم ويستاهل الاشتراك,positive
الدوره كانت سطحيه وما تعلمت منها شي جديد,negative
سجلت بدورة جديده تبدا الاسبوع الجاي,neutral
خياط محترف وسلمني الثوب قبل العيد بيومين,positive
خرب لي القماش وعطاني تطقيع مو خياطه,negative
وديت الثوب المغسله وباخذه بكره العصر,neutral
شريت جوال جديد وكاميرته عجيبه بالليل,positive
الجوال علق من ثاني يوم ورجعته لهم,negative
نقلت بياناتي من الجوال القديم للجديد,neutral
التوصيل عندهم صاروخ يوصل قبل الوقت المتوقع,positive
المندوب رمى الطلب عند الباب وراح بدون جرس,negative
تتبعت الشحنه وطلعت واصله الفرز,neutral
العسل عندهم اصلي مضمون ومجرب,positive
العود اللي شريته منهم طلع مغشوش,negative
سألتهم عن انواع البخور المتوفره,neutral
صالون الحريم هذا شغلهم نظيف وامين,positive
خربوا شعري بالصبغه ولونه طلع غير المطلوب,negative
حجزت موعد قص وسشوار يوم الجمعه,neutral
اخوي ركب عندهم اطقم اسنان وصارت ضحكته تجنن,positive
حشوة الضرس طاحت بعد اسبوع من التركيب,negative
عندي موعد تنظيف اسنان الشهر الجاي,neutral
المخيم مرتب والجلسات الشتويه عندهم دافيه وحلوه,positive
استاجرنا مخيم ولقينا النظافه صفر والدفايات خربانه,negative
بنحجز المخيم من الخميس للسبت,neutral
هالقهوه المختصه فتحت قريب وقهوتهم تجنن,positive
قهوتهم محروقه وما يعرفون يظبطون الاسبريسو,negative
يفتحون من سته الصبح لاثنعش بالليل,neutral
ورشة السمكره رجعوا السياره وكأنها جديده,positive
بياع قطع الغيار غشني بقطعه تقليد,negative
بدلت الكفرات الاربعه قبل السفر,neutral
شغل الستائر عندهم فخم والتفصيل على الملي,positive
ركبوا الستاره عوجا وما رضيوا يعدلونها,negative
جايين ياخذون مقاسات الشباك بكره,neutral
الروايه هذي من اجمل ما قريت سحبتني سحب,positive
الكتاب دعايته اكبر من محتواه بكثير,negative
طلبت كتابين اونلاين ولسه ما وصلوا,neutral
الجمعيه الخيريه هذي شغلهم منظم ويوصل للمستحقين,positive
تبرعت لهم ولا وصلني اي ايصال او تاكيد,negative
باسال عن طريقة التسجيل بالاعمال التطوعيه,neutral
هديتهم وصلت بالوقت المحدد والتغليف انيق جدا,positive
طلبت تغليف هديه ودفعت عليه وجات بدون تغليف,negative
الطلب هديه فحطيت عنوان صديقتي بدل عنواني,neutral
شركة النقل غلفوا الاثاث ونقلوه بدون خدش واحد,positive
كسروا الدولاب بالنقل وانكروا انهم السبب,negative
حددنا موعد النقل يوم الجمعه الصبح,neutral
محل الورد تنسيقهم ابداع وريحة الورد تفوح,positive
الورد وصل ذابل وكان عيد ميلاد امي تحطم الموقف,negative
سالتهم اذا يوصلون لمدينة ثانيه,neutral
تطبيق المشاوير سواقينهم محترمين وسياراتهم نظيفه,positive
الكابتن لغى الطلب بعد ما انتظرته ربع ساعه,negative
حطيت نقطة الالتقاء عند البوابه الرئيسيه,neutral
دورة الاسعافات الاوليه كانت عمليه ومفيده فعلا,positive
المدرب وصل متاخر وخلص الدوره على السريع,negative
الدوره القادمه بتكون عن بعد عبر زوم,neutral
